"i","dc","Val"
"F39","d7",0
"F39","d8",0
"F40","d1",1
"F40","d2",0
"F40","d3",0
"F40","d4",0
"F40","d5",0
"F40","d6",0
"F40","d7",0
"F40","d8",0
"F41","d1",1
"F41","d2",0
"F41","d3",0
"F41","d4",0
"F41","d5",0
"F41","d6",0
"F41","d7",0
"F41","d8",0
"F42","d1",1
"F42","d2",0
"F42","d3",0
"F42","d4",0
"F42","d5",0
"F42","d6",0
"F42","d7",0
"F42","d8",0
"F43","d1",1
"F43","d2",0
"F43","d3",0
"F43","d4",0
"F43","d5",0
"F43","d6",0
"F43","d7",0
"F43","d8",0
"F44","d1",0
"F44","d2",0
"F44","d3",0
"F44","d4",0
"F44","d5",0
"F44","d6",0
"F44","d7",1
"F44","d8",0
"F45","d1",0
"F45","d2",0
"F45","d3",0
"F45","d4",0
"F45","d5",0
"F45","d6",0
"F45","d7",1
"F45","d8",0
"F46","d1",0
"F46","d2",0
"F46","d3",0
"F46","d4",0
"F46","d5",0
"F46","d6",0
"F46","d7",1
"F46","d8",0
"F47","d1",0
"F47","d2",0
"F47","d3",0
"F47","d4",0
"F47","d5",0
"F47","d6",0
"F47","d7",1
"F47","d8",0
"F48","d1",0
"F48","d2",0
"F48","d3",0
"F48","d4",0
"F48","d5",0
"F48","d6",0
"F48","d7",1
"F48","d8",0
"F49","d1",0
"F49","d2",0
"F49","d3",0
"F49","d4",0
"F49","d5",0
"F49","d6",0
"F49","d7",1
"F49","d8",0
"F50","d1",0
"F50","d2",0
"F50","d3",0
"F50","d4",0
"F50","d5",0
"F50","d6",0
"F50","d7",1
"F50","d8",0
"F51","d1",0
"F51","d2",0
"F51","d3",0
"F51","d4",0
"F51","d5",0
"F51","d6",0
"F51","d7",1
"F51","d8",0
"F52","d1",0
"F52","d2",0
"F52","d3",0
"F52","d4",0
"F52","d5",0
"F52","d6",0
"F52","d7",1
"F52","d8",0
"F53","d1",0
"F53","d2",0
"F53","d3",0
"F53","d4",0
"F53","d5",0
"F53","d6",0
"F53","d7",1
"F53","d8",0
"F54","d1",0
"F54","d2",0
"F54","d3",0
"F54","d4",0
"F54","d5",0
"F54","d6",0
"F54","d7",1
"F54","d8",0
"F55","d1",0
"F55","d2",0
"F55","d3",0
"F55","d4",0
"F55","d5",0
"F55","d6",0
"F55","d7",1
"F55","d8",0
"F56","d1",0
"F56","d2",0
"F56","d3",0
"F56","d4",0
"F56","d5",0
"F56","d6",0
"F56","d7",1
"F56","d8",0
"F57","d1",0
"F57","d2",0
"F57","d3",0
"F57","d4",0
"F57","d5",0
"F57","d6",0
"F57","d7",1
"F57","d8",0
"F58","d1",0
"F58","d2",0
"F58","d3",0
"F58","d4",0
"F58","d5",0
"F58","d6",0
"F58","d7",1
"F58","d8",0
"F59","d1",0
"F59","d2",0
"F59","d3",0
"F59","d4",0
"F59","d5",0
"F59","d6",0
"F59","d7",1
"F59","d8",0
"F60","d1",0
"F60","d2",0
"F60","d3",0
"F60","d4",0
"F60","d5",0
"F60","d6",0
"F60","d7",1
"F60","d8",0
"F61","d1",0
"F61","d2",0
"F61","d3",0
"F61","d4",0
"F61","d5",0
"F61","d6",0
"F61","d7",1
"F61","d8",0
"F62","d1",0
"F62","d2",0
"F62","d3",0
"F62","d4",0
"F62","d5",0
"F62","d6",0
"F62","d7",1
"F62","d8",0
"F63","d1",0
"F63","d2",0
"F63","d3",0
"F63","d4",0
"F63","d5",0
"F63","d6",0
"F63","d7",1
"F63","d8",0
"F64","d1",0
"F64","d2",0
"F64","d3",0
"F64","d4",0
"F64","d5",0
"F64","d6",0
"F64","d7",1
"F64","d8",0
"F65","d1",0
"F65","d2",0
"F65","d3",0
"F65","d4",0
"F65","d5",0
"F65","d6",0
"F65","d7",1
"F65","d8",0
"F66","d1",0
"F66","d2",0
"F66","d3",0
"F66","d4",0
"F66","d5",0
"F66","d6",0
"F66","d7",1
"F66","d8",0
"F67","d1",0
"F67","d2",0
"F67","d3",0
"F67","d4",0
"F67","d5",0
"F67","d6",0
"F67","d7",1
"F67","d8",0
"F68","d1",0
"F68","d2",0
"F68","d3",0
"F68","d4",0
"F68","d5",0
"F68","d6",0
"F68","d7",1
"F68","d8",0
"F69","d1",0
"F69","d2",0
"F69","d3",0
"F69","d4",0
"F69","d5",0
"F69","d6",0
"F69","d7",1
"F69","d8",0
"F70","d1",0
"F70","d2",0
"F70","d3",0
"F70","d4",0
"F70","d5",0
"F70","d6",0
"F70","d7",1
"F70","d8",0
"F71","d1",0
"F71","d2",0
"F71","d3",0
"F71","d4",0
"F71","d5",0
"F71","d6",0
"F71","d7",1
"F71","d8",0
"F72","d1",0
"F72","d2",0
"F72","d3",0
"F72","d4",0
"F72","d5",0
"F72","d6",0
"F72","d7",1
"F72","d8",0
"F73","d1",0
"F73","d2",0
"F73","d3",0
"F73","d4",0
"F73","d5",0
"F73","d6",0
"F73","d7",1
"F73","d8",0
"F74","d1",0
"F74","d2",0
"F74","d3",0
"F74","d4",0
"F74","d5",0
"F74","d6",0
"F74","d7",1
"F74","d8",0
"F75","d1",0
"F75","d2",0
"F75","d3",0
"F75","d4",0
"F75","d5",0
"F75","d6",0
"F75","d7",1
"F75","d8",0
"F76","d1",0
"F76","d2",0
"F76","d3",0
"F76","d4",0
"F76","d5",0
"F76","d6",0
"F76","d7",1
"F76","d8",0
"F77","d1",0
"F77","d2",0
"F77","d3",0
"F77","d4",0
"F77","d5",0
"F77","d6",0
"F77","d7",1
"F77","d8",0
"F78","d1",0
"F78","d2",0
"F78","d3",0
"F78","d4",0
"F78","d5",0
"F78","d6",0
"F78","d7",1
"F78","d8",0
"F79","d1",0
"F79","d2",0
"F79","d3",0
"F79","d4",0
"F79","d5",0
"F79","d6",0
"F79","d7",1
"F79","d8",0
"F80","d1",0
"F80","d2",0
"F80","d3",0
"F80","d4",0
"F80","d5",0
"F80","d6",0
"F80","d7",1
"F80","d8",0
"F81","d1",0
"F81","d2",0
"F81","d3",0
"F81","d4",0
"F81","d5",0
"F81","d6",0
"F81","d7",1
"F81","d8",0
"F82","d1",0
"F82","d2",0
"F82","d3",0
"F82","d4",0
"F82","d5",0
"F82","d6",0
"F82","d7",1
"F82","d8",0
"F83","d1",0
"F83","d2",0
"F83","d3",0
"F83","d4",0
"F83","d5",0
"F83","d6",0
"F83","d7",1
"F83","d8",0
"F84","d1",0
"F84","d2",0
"F84","d3",0
"F84","d4",0
"F84","d5",0
"F84","d6",0
"F84","d7",1
"F84","d8",0
"F85","d1",0
"F85","d2",0
"F85","d3",0
"F85","d4",0
"F85","d5",0
"F85","d6",0
"F85","d7",1
"F85","d8",0
"F86","d1",0
"F86","d2",0
"F86","d3",0
"F86","d4",0
"F86","d5",0
"F86","d6",0
"F86","d7",1
"F86","d8",0
"F87","d1",0
"F87","d2",0
"F87","d3",0
"F87","d4",0
"F87","d5",0
"F87","d6",0
"F87","d7",1
"F87","d8",0
"F88","d1",0
"F88","d2",0
"F88","d3",0
"F88","d4",0
"F88","d5",0
"F88","d6",0
"F88","d7",1
"F88","d8",0
"F89","d1",0
"F89","d2",0
"F89","d3",0
"F89","d4",0
"F89","d5",0
"F89","d6",0
"F89","d7",1
"F89","d8",0
"F90","d1",0
"F90","d2",0
"F90","d3",0
"F90","d4",0
"F90","d5",0
"F90","d6",0
"F90","d7",1
"F90","d8",0
"F91","d1",0
"F91","d2",0
"F91","d3",0
"F91","d4",0
"F91","d5",0
"F91","d6",0
"F91","d7",1
"F91","d8",0
"F92","d1",0
"F92","d2",0
"F92","d3",0
"F92","d4",0
"F92","d5",0
"F92","d6",0
"F92","d7",1
"F92","d8",0
"F93","d1",0
"F93","d2",0
"F93","d3",0
"F93","d4",0
"F93","d5",0
"F93","d6",0
"F93","d7",1
"F93","d8",0
"F94","d1",0
"F94","d2",0
"F94","d3",0
"F94","d4",0
"F94","d5",0
"F94","d6",0
"F94","d7",1
"F94","d8",0
"F95","d1",0
"F95","d2",0
"F95","d3",0
"F95","d4",0
"F95","d5",0
"F95","d6",0
"F95","d7",1
"F95","d8",0
"F96","d1",0
"F96","d2",0
"F96","d3",0
"F96","d4",0
"F96","d5",0
"F96","d6",0
"F96","d7",1
"F96","d8",0
"F97","d1",0
"F97","d2",0
"F97","d3",0
"F97","d4",0
"F97","d5",0
"F97","d6",0
"F97","d7",1
"F97","d8",0
"F98","d1",0
"F98","d2",0
"F98","d3",0
"F98","d4",0
"F98","d5",0
"F98","d6",0
"F98","d7",1
"F98","d8",0
"F99","d1",0
"F99","d2",0
"F99","d3",0
"F99","d4",0
"F99","d5",0
"F99","d6",0
"F99","d7",1
"F99","d8",0
"F100","d1",0
"F100","d2",0
"F100","d3",0
"F100","d4",0
"F100","d5",0
"F100","d6",0
"F100","d7",1
"F100","d8",0
"F101","d1",0
"F101","d2",0
"F101","d3",0
"F101","d4",0
"F101","d5",0
"F101","d6",0
"F101","d7",1
"F101","d8",0
"F102","d1",0
"F102","d2",0
"F102","d3",0
"F102","d4",0
"F102","d5",0
"F102","d6",0
"F102","d7",1
"F102","d8",0
"F103","d1",0
"F103","d2",0
"F103","d3",0
"F103","d4",0
"F103","d5",0
"F103","d6",0
"F103","d7",1
"F103","d8",0
"F104","d1",0
"F104","d2",0
"F104","d3",0
"F104","d4",0
"F104","d5",0
"F104","d6",0
"F104","d7",1
"F104","d8",0
"F105","d1",0
"F105","d2",0
"F105","d3",0
"F105","d4",0
"F105","d5",0
"F105","d6",0
"F105","d7",1
"F105","d8",0
"F106","d1",0
"F106","d2",0
"F106","d3",0
"F106","d4",0
"F106","d5",0
"F106","d6",0
"F106","d7",1
"F106","d8",0
"F107","d1",0
"F107","d2",0
"F107","d3",0
"F107","d4",0
"F107","d5",0
"F107","d6",0
"F107","d7",1
"F107","d8",0
"F108","d1",0
"F108","d2",0
"F108","d3",0
"F108","d4",0
"F108","d5",0
"F108","d6",0
"F108","d7",1
"F108","d8",0
"F109","d1",0
"F109","d2",0
"F109","d3",0
"F109","d4",0
"F109","d5",0
"F109","d6",0
"F109","d7",1
"F109","d8",0
"F110","d1",0
"F110","d2",0
"F110","d3",0
"F110","d4",0
"F110","d5",0
"F110","d6",0
"F110","d7",1
"F110","d8",0
"F111","d1",0
"F111","d2",0
"F111","d3",0
"F111","d4",0
"F111","d5",0
"F111","d6",0
"F111","d7",1
"F111","d8",0
"F112","d1",0
"F112","d2",0
"F112","d3",0
"F112","d4",0
"F112","d5",0
"F112","d6",0
"F112","d7",1
"F112","d8",0
"F113","d1",0
"F113","d2",0
"F113","d3",0
"F113","d4",0
"F113","d5",0
"F113","d6",0
"F113","d7",1
"F113","d8",0
"F114","d1",0
"F114","d2",0
"F114","d3",0
"F114","d4",0
"F114","d5",0
"F114","d6",0
"F114","d7",1
"F114","d8",0
"F115","d1",0
"F115","d2",0
"F115","d3",0
"F115","d4",0
"F115","d5",0
"F115","d6",0
"F115","d7",1
"F115","d8",0
"F116","d1",0
"F116","d2",0
"F116","d3",0
"F116","d4",0
"F116","d5",0
"F116","d6",0
"F116","d7",1
"F116","d8",0
"F117","d1",0
"F117","d2",0
"F117","d3",0
"F117","d4",0
"F117","d5",0
"F117","d6",0
"F117","d7",1
"F117","d8",0
"F118","d1",0
"F118","d2",0
"F118","d3",0
"F118","d4",0
"F118","d5",0
"F118","d6",0
"F118","d7",1
"F118","d8",0
"F119","d1",0
"F119","d2",0
"F119","d3",0
"F119","d4",0
"F119","d5",0
"F119","d6",0
"F119","d7",1
"F119","d8",0
"F120","d1",0
"F120","d2",0
"F120","d3",0
"F120","d4",0
"F120","d5",0
"F120","d6",0
"F120","d7",1
"F120","d8",0
"F121","d1",1
"F121","d2",0
"F121","d3",0
"F121","d4",0
"F121","d5",0
"F121","d6",0
"F121","d7",0
"F121","d8",0
"F122","d1",0
"F122","d2",0
"F122","d3",0
